ACT         ,ACCENT,ACC 24335,4015023243354,BARTHOLD KUIJKEN,JOSEPH HAYDN,CHAMBER MUSIC WITH FLUTE,COMPACT DISC,6,31.19,47.99,2017,"This 6-album set presents the complete recordings with flute music by Joseph Haydn made by Barthold Kuijken on the Accent label. Always playing historically accurate transverse flutes, on these albums (which contain trios and quartets in various combinations), he teams up with his brothers Sigiswald and Wieland, his nephew Piet Kuijken and other fine early music specialists. The recordings were made between 1978 and 2014 and are presented together here for the first time. This is an opportunity not to be missed of listening to the legendary Kuijken family in this delicate late 18th-century repertoire. He studied the modern flute at the Bruges Conservatory and the Royal Conservatories of Brussels and The Hague. For playing early music he originally turned to the recorder. Research on authentic instruments, frequent collaboration with various flute and recorder makers, and assiduous study of sources of the 17th and 18th centuries helped him to specialize in the performance on original instruments. For many years he played in the baroque orchestras Collegium Aureum and La Petite Bande. He plays chamber music concerts all over the world, extending his repertoire to early 19th-century music and has recorded extensively."
AEL         ,AEOLUS,AE10276,4026798102760,FLANDERS RECORDER QUARTET  COOLEN,AHLERT  BACH  CAMPO  WARD,5(FIVE),SACD,1,15.59,23.99,2017,"The Flanders Recorder Quartet is going to finish its career in 2018. While this news has spread quickly among the recorder aficionados and created a huge interest in their final world tour, this famous ensemble again released a unique record.  This release is an anthology of five hundred years of music history in a nutshell, combining the intimate sonority of old masterpieces with a touch of jazz by contemporary composers. But in contrast to previous recordings, the quartet has chosen from the substantial pile of five-voice music that music literature has been spoiled with and invited a revered colleague to join its ranks: Saskia Coolen. This is not only a masterful overview of music history, but a fitting overview of an impressive and influential career."
AEO         ,AEON,AECD1754,3760058360545,"Demenga, Thomas; WDR Sinfonieorchester Köln; Molinari, Ernesto; Rundel, Peter; Formenti, Marino","Jarrell, Michael",Michael Jarrell: … mais les images restent …,COMPACT DISC,1,14.81,22.99,2017,"Michael Jarrell claims for himself the status of a craftsman. Well aware that mastery of his art is acquired in the long term, he has often felt the need to return to the same object, considered from a different angle, when he judges that he now possesses more ef cient tools and can express his musical ideas with greater precision. Although he says he is fascinated by artists who constantly work at the same idea, he does not seek a reduction of this kind for himself, but rather moves from one work to another through a process of reactions. That attitude is illustrated by this new album in which works and performers intersect; and the artists here are the composer’s most loyal supporters. The arborescences and ruptures, the profundity of the multiple levels of interpretation we can perceive in the pieces on the programme of this release, make us conscious of the multiplicity of the levels of meaning present in his music. Michael Jarrell’s training as a visual artist has probably honed his sensitivity to forms still further. The impact on him of Paul Klee’s ideas, notably concerning the relationships between forms and movements, is doubtless not foreign to the way he animates the materials with which he composes."
ALP         ,ALPHA,Alpha284,3760014192845,"Hecker, Marie-Elisabeth; Helmchen, Martin; Weithaas, Antje","Schubert, Franz; Weithaas, Antje","Schubert: Piano Trio No. 2 in E-Flat Major, D. 929 & Arpeggione Sonata in A Minor, D. 821",COMPACT DISC,1,14.81,22.99,2017,"Following a first recording on Alpha devoted to Brahms which garnered much praise – ‘real duo playing’ said Gramophone, while Classica discerned ‘shared music making . . . a world full of nuances and subtlety, boundless sonic imagination (Marie-Elisabeth Hecker), playing of rare intelligence (Martin Helmchen)’ and awarded the disc a ‘Choc’ – the duo is reunited. Its new programme features two summits of chamber music: Schubert’s famous Arpeggione Sonata – named after a now obsolete instrument that was a cross between the guitar and the cello – and his no less celebrated Trio no.2 D929, which achieved even greater popularity thanks to Stanley Kubrick’s film Barry Lyndon. In the latter, the duo is joined by an eminent musician with whom they enjoy playing, Antje Weithaas, ‘one of the great violinists of our time’ (Fonoforum) and also one of the teachers most sought after by the young generation. For example, she taught Tobias Feldmann, the young violinist recently signed by Alpha."
ALP         ,ALPHA,Alpha295,3760014192951,"Cemin, Alphonse; Lindsey, Kate; Quatuor Van Kuijk","Chausson, Ernest; Cros, Charles; Debussy, Claude; Ravel, Maurice","Debussy, Ravel & Chausson: Chamber Works",COMPACT DISC,1,14.81,22.99,2017,"The first album of the quartet founded by Nicolas Van Kuijk, a programme of Mozart, was awarded a ‘Choc de Classica’ and ‘Diapason Decouverte’. Now they return to their roots with key works from the French repertory: the single quartets of Maurice Ravel and Claude Debussy and the Chanson perpetuelle of Ernest Chausson, in which they are accompanied by the mezzosoprano Kate Lindsey, who recently joined Alpha, and the pianist Alphonse Cemin, also well-known on the label. On this album The Quatuor Van Kuijk gives these works all their youthful impetuosity. The quartet is already a BBC New Generation Artist, having won First Prize and the Haydn and Beethoven Prizes at the Wigmore Hall International String Quartet Competition, and First Prize and the Audience Prize at the Trondheim International String Quartet Competition. They have also recently joined the roster of ECHO Rising Star artists for the 2017-18 season."
ALP         ,ALPHA,Alpha299,3760014192999,"Nevermind; Rondeau, Jean","Telemann, Georg Philipp",Telemann: Quatuors Parisiens,COMPACT DISC,1,14.81,22.99,2017,"After their first recording on Alpha, ‘Conversations,’ featuring rarely heard pieces by Quentin and Guillemain, Anna Besson (flute), Louis Creac’h (violin), Robin Pharo (viola da gamba) and Jean Rondeu (harpsichord) continue to introduce the public to the riches of a repertory that has been too long ignored, with this recording of Georg Philipp Telemann’s Nouveaux Quatuors parisiens. At the height of his glory, the German composer left Hamburg in 1737 to spend time in Paris and appreciate the city’s vibrant musical life. There he composed a new set of quartets that came to be called the ‘Paris Quartets’ and in which he celebrated the union of the European styles of his time, at the zenith of the Baroque. The four musicians and friends of Nevermind pursue their exuberant conversation, as virtuosic and eloquent as ever."
ALP         ,ALPHA,Alpha362,3760014193620,"Charlesworth, Rupert; Wolf, Andreas; Niquet, Hervé; Concert Spirituel Chorus; Pichanick, Anthea; Piau, Sandrine; Concert Spirituel Orchestra; Watson, Katherine","Bible; Handel, George Frideric","Handel: Messiah, HWV 56 (1754 Version)",COMPACT DISC,2,21.83,33.99,2017,"Why yet another Messiah? ‘I went through the different scores that exist and decided on the very interesting 1754 version, which features five soloists. You must remember that, when Handel arrived somewhere to perform his oratorio, he had soloists of varying standards available to him. So he quickly revised his score accordingly... All this is directly related to the reality of Handel’s situation as a concert promoter. In those days, to earn a living from his music, a composer absolutely had to get his works performed and make a profit on the evening. The idea of not retouching a work to avoid “spoiling” or “distorting” it is a much more modern one. There must be around a dozen versions of Messiah (I won’t list them all). The 1754 version is rarely played because it calls for five soloists: two sopranos, alto, tenor and bass... I’ve opted here for an operatic interpretation, taking its cue from the drama inherent in this account of the life of Christ.’ (Herve Niquet) This deluxe edition also includes a fascinating portrait of Herve Niquet, an interview organised around thirty keywords (from ‘Dance’ to ‘Nerves’) that sheds new light on one of the most atypical conductors on today’s musical scene."
ALP         ,ALPHA,Alpha370,3760014193705,"Vox Luminis; Meunier, Lionel","Bach, Johann Sebastian; Bible; Handel, George Frideric",Dixit Dominus Magnificat,COMPACT DISC,1,14.81,22.99,2017,"After several recordings on Ricercar and a first disc on Alpha, Actus Tragicus, containing early Bach cantatas, ‘of staggering profundity, purity and beauty’ (ffff Telerama), Lionel Meunier and his ensemble Vox Luminis devote this new project to two showpieces by Handel and Bach. Of these two composers born in 1685, the first travelled to Italy in 1707 and made a powerful impression in Rome with the creation of his Dixit Dominus, while the second produced one of his finest compositional tours de force in the Magnificat of 1723/32-35. Two works from the core repertoire of the Belgian ensemble, here fielding combined vocal and instrumental forces, which is perfectly versed in the style and expression of Baroque rhetoric. Vox Luminis is a Belgian early music ensemble created in 2004 by its artistic director Lionel Meunier. Today, the ensemble performs over 60 concerts a year, appearing on stages in Belgium, across Europe and around the world. The size and composition of the group depends on the repertoire being performed but the core of soloists, mostly from the Royal Conservatory of the Hague, is joined by a continuo and additional (orchestral) instrument performers. Its repertoire is essentially Italian, English and German and spans from the 16th to the 18th century. Since its inception, the ensemble is defined by its unity and seduces as much through the personality of each timbre as it does through the colour and the uniformity of the voices. It is more than a fixed repertoire, the ensemble members wholeheartedly communicate their passion for early music and love for the audience."
ALP         ,ALPHA,Alpha372,3760014193729,"Pichon, Raphaël; Froeliger, Philippe; Cappella Mediterranea; Le Levreur, Bruno; Tiliakos, Dimitris; Aspromonte, Francesca; Rannou, Blandine; MusicAeterna; Vox Luminis; Ryabets, Oleg; Witmer, Kristen; Meier, Arno; Meunier, Lionel; Ceccato, Marco; Buckland, Robert; Bucher, Aurore; Král, Tomáš; Frisch, Céline; Novosibirsk State Philharmonic Chamber Choir; Roca, Alba; Myrus, Sebastian N.; Lowrey, Christopher; Zverev, Alexandre; Arnould, Benoît; Hegyi, Barnabás; Pages et Chantres de la Chapelle; Leonhardt, Gusta","Albinoni, Tomaso Giovanni; Anonymous; Bach, Johann Christoph; Bach, Johann Sebastian; Badoaro, Giacomo; Bembo, Pietro; Bible; Bull, John; Busenello, Giovanni Francesco; Byrd, William; Charpentier, Marc-Antoine; Couperin, François; Duphly, Jacques; Durante, Francesco; Forqueray, Antoine; Forqueray, Jean-Baptiste Antoine; Franck, Salomo; Gibbons, Orlando; Guarini, Giovanni Battista; Hassler, Hans Leo; Leon, Johann; Lully, Jean-Baptiste; Luther, Martin; Marino, Giambattista; Mass Text; Monteverdi, Claudio; Pac",Les Maîtres Du Baroque - Collection Château de Versailles,COMPACT DISC,18,29.63,45.99,2017,"This extensive release gives you a chance to admire some of the most glittering jewels left to us by the Baroque era. Its fifteen individual albums outline an exciting panorama of musical Europe during that period, an inspired heritage performed by the finest soloists and ensembles: Vivaldi’s Gloria by Le Concert Spirituel and Herve Niquet and his Four Seasons by Gli Incogniti and Amandine Beyer; Bach’s B minor Mass by Pygmalion and Raphaël Pichon, the Solo Cello Suites by Bruno Cocset, the Brandenburg Concertos by Cafe Zimmermann and the Goldberg Variations by Celine Frisch; Charpentier’s Te Deum by Le Poème Harmonique and Vincent Dumestre; Purcell’s Dido and Aeneas by MusicAeterna and Teodor Currentzis; Rameau harpsichord pieces by Blandine Rannou; Albinoni sonatas by Ensemble 415 and Chiara Banchini; and much else. This is, no doubt, a veritable treasure trove containing the indispensable works of the Baroque by today’s leading artists."
ALP         ,ALPHA,Alpha374,3760014193743,"Martynov, Yuri","Liszt, Franz",Liszt: Beethoven Complete Symphonies,COMPACT DISC,6,23.39,35.99,2017,"This set brings together the five separate albums containing Franz Liszt’s transcriptions of Beethoven’s nine symphonies performed by the pianist Yury Martynov. Reducing these complex works for piano solo was an enormous challenge for Liszt, who nevertheless succeeded in recreating their prodigious character and their incredible power. ‘An event on a period piano, thanks to which we rediscover the colors... of the orchestra’ (Pianiste): the piano combines the whole orchestra, sometimes even with vocal soloists and chorus, bringing their voices together in a single instrument. The energy and the textures of the symphonies are laid bare and magnified in the interpretation of Yury Martynov on a Blüthner piano dating from 1867 and an Érard piano of 1837, both from the collection of Edwin Beunk: the Russian pianist reveals ‘details usually obscured in orchestral performances, which come to light thanks to his meticulous phrasing and colouring of every bar’ (The Guardian)."
ALP         ,ALPHA,Alpha676,3760014196768,"Antonini, Giovanni; Kammerorchester Basel","Haydn, Franz Joseph; Kraus, Joseph Martin","Haydn 2032, No. 5. L'homme de Génie",COMPACT DISC,1,14.81,22.99,2017,"Haydn2032, the ambitious project of recording the complete symphonies of Haydn, has been placed from the start under the artistic direction of Giovanni Antonini, with two ensembles, Il Giardino Armonico, which made the first four volumes, and the Kammerochester Basel, to which this fifth volume and the next two are assigned. Another characteristic of the edition is that each time Haydn is set in perspective with another composer; here it is Joseph Martin Kraus (1756-92): ‘Kraus was the first man of genius that I met. Why did he have to die? It is an irreparable loss for our art. The Symphony in C minor he wrote in Vienna specially for me is a work which will be considered a masterpiece in every century’, said Haydn in 1797. Though he long remained forgotten after his death, Kraus made an active contribution to the movement of poetic renewal called ‘Sturm und Drang’ or ‘Geniezeit’ (time of genius) because such artists as the young Goethe broke free of all tradition to follow their hearts alone. When Haydn called Kraus homme de genie, in French, he probably had this context in mind. The two composers had met in Vienna in 1783."
ALP         ,ALPHA,Alpha677,3760014196775,"KAMMERORCHESTER BASEL, ANTONINI",HAYDN  KRAUS,HAYDN2032 L'HOMME DE GENIE (LP,VINYL,2,29.63,45.99,2017,"Haydn2032, the ambitious project of recording the complete symphonies of Haydn, has been placed from the start under the artistic direction of Giovanni Antonini, with two ensembles, Il Giardino Armonico, which made the first four volumes, and the Kammerochester Basel, to which this fifth volume and the next two are assigned. Another characteristic of the edition is that each time Haydn is set in perspective with another composer; here it is Joseph Martin Kraus (1756-92): ‘Kraus was the first man of genius that I met. Why did he have to die? It is an irreparable loss for our art. The Symphony in C minor he wrote in Vienna specially for me is a work which will be considered a masterpiece in every century’, said Haydn in 1797. Though he long remained forgotten after his death, Kraus made an active contribution to the movement of poetic renewal called ‘Sturm und Drang’ or ‘Geniezeit’ (time of genius) because such artists as the young Goethe broke free of all tradition to follow their hearts alone. When Haydn called Kraus homme de genie, in French, he probably had this context in mind. The two composers had met in Vienna in 1783."
ALTU        ,ALTUS- CHALLENGE,ALT 307,4543638003075,YOMIURI NIPPON SYMPHONY ORCHESTRA  CAMBRELING,BARTOK  STRAVINSKY,RITE OF SPRING,COMPACT DISC,1,14.81,22.99,2017,"The Yomiuri Nippon Symphony Orchestra, Tokyo, was founded in 1962 by Japan's three leading media companies--The Yomiuri Shimbun newspaper company, Nippon Television Network Corporation (NTV) and Yomiuri Telecasting Corporation (YTV). The orchestra performs around 100 concerts each year true to its founding mission of dedicating to promoting the universe of classical music in Japan. On this release, the ensemble pairs Stravinsky’s The Rite of Spring and Bartok’s The Miraculous Mandarin Suite. French-born conductor Sylvain Cambreling is a musician with big ideas. A thought-provoking, colourful and dramatic artist, and persuasive champion of contemporary music, he has a flair for grabbing the attention of audiences, yet his originality is rooted in thorough knowledge of musicology."
AMD         ,AMADEUS ARTE,AA17004,9788895450476,"Sollima, Giovanni; Sacchi, Floraleda; Massimi, Danila; Manera, Eloisa; Calvanelli, Sara; Scommegna, Arianna; Parisi, Giancarlo","Calvanelli, Sara",Onironautiche,COMPACT DISC,1,11.69,17.99,2017,"This new release is the debut album of composer and accordionist Sara Calvanelli performing with some of Italy’s top musicians. This is a project dedicated to dreams and maternity to discover this young and talented artist. Sara writes: “Onironautica is a term created by the German psychoanalyst Frederik van Eeden to describe the experience of the lucid dream. When we are dreaming we are often passive protagonists, viewers of ourselves, on the contrary in the lucid dream we turn into explorers, inventors, travelers. Most of the music of this album was written during my first pregnancy. At the end of the day I used to improvise, letting my thoughts flow freely, and with the passing of the weeks, I felt the desire to match the sound of the accordion with that of the voice. The improvisations slowly became definite lines and over time I felt the need to involve other musicians, artists with different histories and languages, but all sharing a single, great trait: an archaic and magical conception of sound.”"
AMR         ,AMERICAN MODERN RECORDINGS,AMR1048,616895087028,"Treviño, Matthew; Levine, Samuel; Bonet, Eliza; Bonetti, Melisa; Rutter, Jordan; Williamson, Dean; Ruckman, Courtney; Nashville Opera Orchestra; Mason, Wes; Pastin, Danielle","Cote, David; Paterson, Robert",Three Way: A Trio of One Act Operas,SACD,2,11.69,17.99,2017,"An Il trittico for the Tinder generation, THREE WAY is a new opera on the present and future of sex and love with music by Robert Paterson (The Whole Truth) and a libretto by David Cote (The Scarlet Ibis). In three playful one-acts, average heroes explore the worlds of android lovers, BDSM and multiple partners in their searches for the emotional connections that are ever-elusive in today’s romantic world. This release is the original cast recording, featuring the Nashville Opera conducted by Dean Williamson. “Nashville Opera has secured for itself a place among important regional companies.” (American Record Guide-Opera Everywhere) The Nashville Opera Association is a professional opera company in Nashville, Tennessee and is a member of OPERA America. The company currently offers four fully staged opera productions and the On Tour educational outreach program during an annual season which runs from October through April. Performances are offered at the Tennessee Performing Arts Center in Downtown Nashville and the award-winning Noah Liff Opera Center in the Sylvan Heights section of West Nashville."
ANA         ,ANALEKTA,AN28871,774204887124,CANADA'S NATIONAL ARTS CENTRE ORCHESTRA  SHELLEY,LAU  LIZEE  STANILAND,ENCOUNT3RS,COMPACT DISC,2,0.00,0.00,2017,"Encount3rs is an unprecedented project, event and recording which has resulted in remarkable new one-act ballets and original orchestral scores. This new album consists of the music from this landmark NAC commission which pairs three of Canada’s outstanding choreographic talents with three of the country’s most exciting composers. Alberta Ballet’s eminent and prolific Jean Grand-Maître joined forces with multiple award-winning new music visionary Andrew Staniland; Ballet BC’s trail-blazing Emily Molnar met her musical match with innovative composer Nicole Lizee; and Guillaume Côte, gifted dancer and choreographic associate with the National Ballet of Canada, was perfectly paired with noted emerging composer Kevin Lau."
ANSC        ,ANALOG SPARK - CONCORD,AS00032,888072021341,BEN FOLDS,,SUPERSUNNYSPEEDGRAPHIC (LP),VINYL,2,28.07,43.99,2017,"Over 53,000 albums soldNever available on vinylMastered from the original tapes and pressed/plated at RTIIncludes popular single “Bitches Ain’t Shit”""1. In Between Days2. All U Can Eat3. Songs of Love4. There's Always Someone Cooler Than You5. Learn to Live with What You Are6. Bitches Ain't Shit7. Adelaide8. Rent a Cop9. Get Your Hands Off My Woman10. Bruised11. Dog12. Still"
ANR         ,ANTHOLOGY RECORDINGS - UNIVERS,4923604313,184923604313,PHAROAH SANDERS,,TAUHID (LP),VINYL,1,17.65,27.99,2017,
ANR         ,ANTHOLOGY RECORDINGS - UNIVERS,4923604412,184923604412,PHAROAH SANDERS,,JEWELS OF THOUGHT (LP),VINYL,1,17.65,27.99,2017,
ANR         ,ANTHOLOGY RECORDINGS - UNIVERS,4923604511,184923604511,PHAROAH SANDERS,,"DEAF, DUMB, BLIND (LP)",VINYL,1,17.65,27.99,2017,
APR         ,APR RECORDINGS,Apr-03,5024709174034,"Kempff, Wilhelm","Beethoven, Ludwig van",Beethoven Piano Sonatas: The Complete Wartime 78-rpm Recordings,COMPACT DISC,4,27.29,41.99,2017,"This important set contains the sixteen Beethoven sonatas that Wilhelm Kempff recorded for Grammophon in Germany between 1940 and 1943. Several are reissued here for the first time since their original release on 78rpm discs and none are currently available elsewhere. The sound is excellent for the period and all reveal the young Kempff at his best, in performances that compliment his later thoughts. The release is the companion of two previous APR releases of early Kempff Beethoven recordings – the late sonatas (APR6018) and piano concertos 1, 3, 4 & 5 (APR6019), both of which received excellent reviews and were amongst APR’s best sellers."
ARN         ,ARCANA,A441,3760195734414,"Amoroso, L'; Pelon, Caroline; Balestracci, Guido; Ruvio, Melodie","Bible; Marcello, Benedetto",Marcello: Chamber Works,COMPACT DISC,1,14.81,22.99,2017,"With a selection from Benedetto Marcello’s Estro poetico-armonico, a monumental musical setting of the first fifty psalms, the first edition of which was accompanied by letters of praise from such musicians as Telemann, Mattheson and Bononcini, L’Amoroso finds an original way of celebrating its initial passion, the Italian repertory with viola da gamba, of which the ensemble has made a speciality at the instigation of Guido Balestracci. The artistic project here renews the group’s ties with the centrality of melody, the dialogue between voices and instruments, and experimentation with vocal sound. The two singers, the ductile and sensitive soprano Caroline Pelon and the alto Melodie Ruvio with her deep tone-colours, appear in both solo and duet formation. A sonata from the composer’s op.2, testifying to the taste for the viola da gamba typical of Baroque culture in Venice, completes this recording, a new collaboration between the ensemble and Outhere that also marks the debut of L’Amoroso and Guido Balestracci on the Arcana label."
