2019,ACT,Accent,ACC 24353,4015023243538,George Frideric Handel ,Handel: The Recorder Sonatas,Stefan Temmingh; Wiebke Weidanz; Carolyn Sampson; Andre Morsch; Cappella Amsterdam; Orchestra of the 18th Century; Daniel Reuss,1,CD,14.81,22.99,"The Six Recorder Sonatas by George Frideric Handel are a compendium of the recorder's original literature, and have an exceptional position because of their beauty. They're typically Handelian in character, in that the upper voice is very vocal, like his operas. The melodies are truly captivating and remarkable for their "simplicity" which demands far more virtuosity than simply moving the fingers quickly. The goal of Stefan Temmingh, one of Germanys most renowned recorder players of the younger generation, is to come as close as possible to the greatest of all instruments - the human voice. The bass line makes an equal counterpart to the recorder part; it's opulent, virtuosic and full of variety - much more than in comparable pieces. It's executed without cello only by harpsichord, performed in an outstanding way by Wiebke Weidanz.",,https://b2b.naxosusa.com/Album.aspx?product=ACC%2024353dig,01 Classical,Classical,,Austria,2019 note 1 music ,2019 note 1 music ,,,,,,,,,,,,,,,,,,,,
2019,ARC,ARC,EUCD2821,5019396282124,Various ,Abdesselam Damoussi & Nour Eddine: Jedba - Spiritual Music from Morocco,Abdesselam Damoussi; Nour Eddine,1,CD,14.81,22.99,"This new release features Moroccan music by Abel Damoussi and Nour Eddine, two composers and musicians fusing their love of spiritualism and the colorful streets of Marrakesh into this exquisite mix of chants, percussion, instrumentals, and rhythmic trances. This album has been years in the making, refined and honed to a deeply harmonized album for all to enjoy, be they Jewish, Christian, or Muslim- "united in the love of the Divine." Both of these musicians have experienced great success prior to this release- Nour Eddine's composition is part of the Vatican classical music archives and was selected for the 2010 London Classical Award. Abel wrote the philosophy and the lyrics of the album Yed El Henna with the renowned group Fnaire.",,https://b2b.naxosusa.com/Album.aspx?product=EUCD2821,30 World/Int'l.,World,World,Poland,2019 Abel Production,2018 ARC Music Productions Int. ,,,,,,,,,,,,,,,,,,,,
2019,ARC,ARC,EUCD2822,5019396282223,Various ,Rodopi Ensemble: Thraki - Thrace - The Paths of Dionysus,Rodopi Ensemble,1,CD,14.81,22.99,"In Greek mythology, Thrace is defined symbolically as "the daughter of Oceanus, sister of Europe, Asia and fertile Libya." Thus, even in ancient times, emphasis is placed on the unique role played by this region as a crossroads of the cultural networks of the East and West. In the region of Thrace, musical borders between Bulgaria, Greece and Turkey blur in a cultural continuum that is evident in the unique features of its music and its dances. The Rodopi Ensemble, named after the largest mountain range in the area, are from the Greek part of Thrace and the band has been performing for more than twenty years. They play with the mastery and traditional styles of their region. This album is a multi-colored mosaic of sounds, with clarinet, violin, kanun (Middle-Eastern zither), lute, toubeleki (Greek drum) and vocals.",,https://b2b.naxosusa.com/Album.aspx?product=EUCD2822,30 World/Int'l.,World,World|Europe,Poland,2019 Rodopi ensemble licensed exclusively to ARC Music Productions Int. Ltd.,2018 ARC Music Productions Int. ,,,,,,,,,,,,,,,,,,,,
2019,ARC,ARC,EUCD2823,5019396282322,Various ,Heart of the Dragon Ensemble: Chinese Love Songs,Heart of the Dragon Ensemble,1,CD,14.81,22.99,"Folk songs are the songs of the people. From ancient times to the present, regardless of location, each era will inevitably produce a unique historical story, due to differences in culture, language, and religion. Most Chinese love songs are about human emotions and reflect the culture and tradition. In a conservative culture with generational differences, true love was not always easy nor always had a happy ending. Sometimes young lovers needed to fight their way through. This release is a stunning collection of Chinese love songs, including well-known traditional folk tunes and new compositions based on famous poems from dynasty poets. The works are performed by the renowned Heart of the Dragon Ensemble and played on traditional instruments with both male and female voices.",,https://b2b.naxosusa.com/Album.aspx?product=EUCD2823,30 World/Int'l.,World,World|Asia,Austria,,2019 ARC Music Productions,,,,,,,,,,,,,,,,,,,,
2019,ARC,ARC,EUCD2824,5019396282421,Various ,Ireland - Tales of our Land,Various,1,CD,11.69,17.99,"Traditional Irish music is said to have originated with the Celts when they settled on the land after travelling from Europe around 500BC. They brought with them many influences of the east; one possible origin for the most famous of Celtic instruments- the harp- is that it came from Egypt and was used to create music for those of higher rank. Over the years traditional Irish music has been born, developed and spread worldwide as a means to express the traditions, musical styles, poetry works and treasured stories of its ancestral lands. This album is a celebration of Ireland's traditions heard in songs from all over the country, from many a talented and well-known Irish musician- the tales of their land...",,https://b2b.naxosusa.com/Album.aspx?product=EUCD2824,30 World/Int'l.,World,World,Austria,,2019 ARC Music Productions,,,,,,,,,,,,,,,,,,,,
2019,ARC,ARC,EUCD2825,5019396282520,Various ,Celtic Visions,Various,1,CD,11.69,17.99,"Celtic Visions is a captivating and beautiful collection of yearning laments, traditional folk songs and instrumentals from Scotland, woven together into a stunning tapestry of sound with piano, harp, bagpipes, violin and song. Tales of the druids and seers, visionaries and prophets are shared by award-winning artists, from one of the world's most mystical lands, Celtic Scotland. Songs in both English and Gaelic are featured, as are both folk tunes passed down over centuries and new compositions. The artists featured are well-known in their home country, and include Alasdair MacCuish and the Black Rose Ceilidh Band, Allan Henderson, Gillebride MacMillan, and many others.",,https://b2b.naxosusa.com/Album.aspx?product=EUCD2825,30 World/Int'l.,World,World|Celtic,Austria,,2019 ARC Music Productions,,,,,,,,,,,,,,,,,,,,
2019,ARN,Arcana,A112,3760195731123,Arcangelo Corelli ,Corelli: Solos & Concertos Fitted for the Flutes,Estro Cromatico; Marco Scorticati,1,CD,8.57,13.99,"In early 18th-century England, the recorder was a popular instrument among music lovers, therefore- since the eminent Italian composer Arcangelo Corelli's works made an enormous impression in the country- it was only a matter of time before numerous virtuoso recorder arrangements of his string works began to appear.Estro Cromatico leader Marco Scorticati and his longstanding partner Davide Pozzi join forces with Evangelina Mascardi, Sara Campobasso, Michela Gardini, and Pietro Pasquini to deliver a new rendition of this well-loved music, including two premiere recordings. Improvised ornamentation, as well as the multifaceted texture provided by diversified combinations of the continuo instruments, play a central role in the present interpretation, thus bringing Corelli's extraordinary music back to life; as Roger North wrote in 1710 "if music can be immortal, Corelli's consorts will be so."",,https://b2b.naxosusa.com/Album.aspx?product=A112,01 Classical,Classical,,Netherlands,"2018 Estro Cromatico, under exclusive licence to Outhere Music France",2018 Outhere Music France,,,,,,,,,,,,,,,,,,,,
2019,ADV,ArcoDiva,UP0206,8594029812062,Frederic Chopin; Cesar Franck; Joseph Haydn; Sergei Rachmaninoff; Adam Skoumal ,Marek Kozak - Piano,Marek Kozak,1,CD,13.25,20.99,"The pianist Marek Kozák is a student at the Music and Dance Faculty of the Prague Academy of Performing Arts in the class of Prof. Ivan Klánský. In February 2018 he won the European Piano Competition in Bremen. To his other achievements belong winning second place in the Prague Spring Competition 2016, where he was praised for his performance of the work Kejklír (Jongleur) by the contemporary Czech composer Adam Skoumal- you can listen to that work on this recording. Other composers on this recording come from the Romantic era - Céar Franck, Fryderyk Chopin and Sergei Rachmaninoff. The last covered composer is classicistic Joseph Haydn with his Sonata in E Major.",,https://b2b.naxosusa.com/Album.aspx?product=UP0206dig,01 Classical,Classical,,Czech Republic,2018 ArcoDiva,2018 ArcoDiva,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38257,4260052382578,Paul Hindemith; Igor Stravinsky ,Magdalena Mullerperth: Piano Music by Stravinsky & Hindemith,Magdalena Mullerperth,1,Hybrid SACD,15.59,23.99,"Magdalena Müllerperth (*1992) is one of the most engaging talents of her generation. She impresses her listeners with her original programmes, which often include unknown and rarely performed works. Here she plays piano works by two of the most important representatives of Classical Modernism, including Paul Hindemith's extremely rarely heard reconstructed Sonata Op. 17. The German pianist, Magdalena Müllerperth, began piano lessons at the age of 5. In 2003 she became a student of Professor Sontraud Speidel at the Public University of Music in Karlsruhe (Germany). Since November 2007, she has been a student of Professor Alexander Braginsky at the University of Minnesota, Minneapolis and Hamline University, St. Paul, Minnesota USA, founded by scholarships. Since 1999 she has won more than 35 prizes at piano-competitions, inlcuding the Les Rencontres internationales des Jeunes Pianistesde l´An 2002 in Belgium, the Premio della Critica 2004 (RAI) at Concorso Europeo di Musica in Italy, the German state piano competition Jugend musiziert 2005 and the first prize of the Minnesota Orchestra, Young People´s Symphony Concert Association in the USA.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38257,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38258,4260052382585,Frederic Chopin; Andreas Woyke ,Andreas Woyke: Braiding Chopin,Andreas Woyke,1,Hybrid SACD,15.59,23.99,"The present album 'Braiding Chopin' by Andreas Woyke is a continuation of his solo debut 'Braiding Bach'. Compositions by the Polish piano grandmaster of the Romantic period interact with the pianist's own compositions and together form a dramaturgical total work of art: both expressive and contemplative - and thus also a mirror of the human soul! The German pianist, Andreas Woyke, had an education shaped by various international influences - the Argentine pianist Aldo Antognazzi taught him in Siegen. In Cologne and Vienna he studies with the Russian pianists Pavel Gililov and Rudolf Kehrer. That time he won a number of international prizes: 1st prize at Brahms-Competition Hamburg, 1st prize at Austro Mechana in Vienna and 2nd prize and recital prize at UNISA Transnet competition in Pretoria.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38258,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38261,4260052382615,Johann Sebastian Bach; Gyorgy Ligeti; Franz Liszt; Olivier Messiaen; Sergei Prokofieff ,Katharina Treutler: Beyond - Works for Piano Solo,Katharina Treutler,1,Hybrid SACD,15.59,23.99,"Katharina Treutler's new release offers devilish pleasure alongside intimate worship of God. For example, Ligeti's tricky, demonic 'Treppenwitz' stands opposite the glistening piano work of the faithful Catholic Messiaen. Enlivened by variations of the Holy Spirit, his music seems to sparkle through the windows of an important French cathedral. Katharina Treutler has given numerous recitals around the world, performing in Europe, Asia and in the United States. As a soloist she has played with leading orchestras such as the London Symphony Orchestra, the San Francisco Symphony, the Tokyo Philharmonic, the Armenian Philharmonic, the Baltimore Symphony Orchestra, Staatsorchester Rheinische Philharmonie, the San Diego Symphony, the Netherlands Philharmonic Orchestra and the Royal Stockholm Philharmonic Orchestra. In February 2015, the album Final Symphony was released worldwide with Katharina performing works by composer Nobuo Uematsu. Featuring pieces performed with the London Symphony Orchestra, as well as solo performances, the album was recorded at London's Abbey Road Studios and reached number one in the iTunes Classical Music Charts in more than ten countries, as well as the Classical Album top 5 of the Billboard Charts and the Official Charts UK. Her other albums include a recording of Brahms' Piano Concerto No. 1.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38261,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38262,4260052382622,Johann Christian Bach; Andrea Bernasconi; Baldassare Galuppi; Niccolo Jommelli; Wolfgang Amadeus Mozart; Josef Myslivecek; Giuseppe Sarti ,Charlotte Schafer: Dolci Affetti,Charlotte Schafer; Concerto con Anima; Michael Preiser,1,Hybrid SACD,15.59,23.99,"The second solo album of the young soprano Charlotte Schäfer, together with Concerto con Anima under Michael Preiser, contains true gems of virtuoso coloratura art, which all use texts from the libretto Demofoonte by Pietro Metastasio. Among the composers of the works recorded here for the first time in the world are Johann Christian Bach, Pasquale Anfossi and Giuseppe Sarti. "Stylistically confident; crisp, clear and energetic!" is how the Westdeutsche Allgemeine Zeitung described Charlotte Schäfer's voice. Ever since her debut performance in 2012, singing Aspasia's arias from Mozart's Mitridate, re di ponto, the young coloratura soprano has enchanted audiences and critics. Her successful debut was soon followed by invitations to music festivals (Festival de Besançon, Festival Ensemblia), live recordings for radio (BR, Deutschlandradio Kultur) and recordings for the music labels ARS Produktion and cpo. She has performed on stage in Italy, France, Latvia, Hungary and Switzerland.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38262,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38264,4260052382646,Erich Wolfgang Korngold; Alexander Zemlinsky ,Stefan Zweig Trio: Klaviertrios,Stefan Zweig Trio,1,Hybrid SACD,15.59,23.99,"With the piano trios by Zemlinsky and Korngold (from 1896 and 1909/10) recorded on this production, the three passionate chamber musicians of the Stefan Zweig Trio bring together compositions that offer both a retrospective and an outlook on their time of origin. The Vienna-based Stefan Zweig Trio was established in 2012, and unites three passionate chamber musicians with a broad range of experience. The members of the Trio are graduates of the Guildhall School of Music & Drama, the University of Music and Performing Arts Vienna and the Paris Conservatoire, and are laureates of major competitions including ARD, Sendai, and the Melbourne International Chamber Music Competition. They made their Wigmore Hall debut in January 2015. The ensemble is a member of the European Chamber Music Academy (ECMA) and enjoys regular artistic guidance from notable musicians such as Johannes Meissl, Avedis Kouyoumdjian, Hatto Beyerle and Miguel Da Silva.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38264,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38268,4260052382684,Pixinguinha; Johann Sebastian Bach; Jacob Do Bandolim; Bela Bartok; Chick Corea; Masashi Hamauzu; Andrzej Korzynski; Benyamin Nuss; Konstantin Reinfeld; Kaoru Wada ,Konstantin Reinfeld & Benyamin Nuss: Debut,Konstantin Reinfeld; Benyamin Nuss,1,Hybrid SACD,15.59,23.99,"At the beginning of 2017, the duo Konstantin Reinfeld and Benyamin Nuss began interpreting transcriptions of classical works on the diatonic harmonica and piano. The common enthusiasm for soundtracks, world music and jazz was also discovered early on. The wide-ranging programme on the present release offers a musical experience that is as captivating as it is individual. Dubbed the ,,German Wunderkind", Konstantin Reinfeld started playing the harmonica as a teenager and was recognized for his playing skills in no time. Invited to the "Harmonica Masters Workshops 2010" by none other than Steve Baker, Konstantin went on to learn from harmonica virtuoso Howard Levy. The release of his first album in 2012 established him as one of the best Jazz harmonica players. Benyamin Nuss was born in Bergisch-Gladbach on the twentieth of June 1989. At the age of six he began piano lessons. He was inspired and encouraged by his father, the trombonist Ludwig Nuss, an internationally renowned jazz musicians. Not only did Benyamin grow up with music from different genres, he really made classical music and jazz his passion. Inspired by "Doctor Gradus ad Parnassum" from "Children's Corner," he began at the age of ten to study the composer Claude Debussy, and soon after the works of Maurice Ravel.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38268,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
2019,ARP,Ars Produktion,ARS38507,4260052385074,Franz Schubert ,"Boris Bloch: Schubert Piano Works, Vol. 7",Boris Bloch,1,CD,14.81,22.99,"Boris Bloch's stupendous keyboard art and his incredibly strong personality are the basis for the widely praised depth of expression, the richness of color, the astonishing stylistic authenticity and the incomparable 'singing' of his piano playing. All this is reflected in the carefully composed programs of his recitals. Bloch's latest album for ARS PRODUKTION commemorates the 190th anniversary of Schubert's death. Born in Odessa, the pianist and conductor Boris Bloch has long been regarded as one of the most important interpreters of classical and romantic piano music. After studying at Moscow's Tchaikovsky Conservatory under the world-renowned pianist and pedagogue Dmitri Bashkirov he soon built up a large and ever expanding repertoire extending from Scarlatti and Bach, the Viennese Classicists, Chopin and Liszt and covering the German and Russian Romantics to the most important composers of the 20th century. Bloch's detailed knowledge of the piano literature of the last three centuries, his familiarity with the entire history of music and its protagonists along with his stupendous pianism and above all things his strong artistic personality form the basis for the much vaunted depth of expression, the abundance of color, the amazing stylistic originality and the incomparable "singing tone" of his playing, manifesting themselves equally in the careful composition of his recitals.",,https://b2b.naxosusa.com/Album.aspx?product=ARS38507,01 Classical,Classical,,Germany,2018 Ars Produktion,,,,,,,,,,,,,,,,,,,,,
