L2L         ,2L,2L-140-SABD,7.04189E+12,KARLSEN  ENSEMBLE 96  LJONES,DANIEL-LESUR  DYRUD  HAVORY,SO IS MY LOVE,BLU-RAY AUDIO + SACD,2,27.29,41.99,2017,"""So is my love"" is about love and the beloved, and this includes the sense of love awakened in us by religious faith and by nature. In works by Dyrud, Odegaard, Havrøy, Daniel-Lesur and Stockhausen the countless facets of love are painted in music and words: we encounter passion, lust, prayer and longing, but we also find humour, playfulness and joy. The two previous albums produced by 2L with Ensemble 96 were honored by The Recording academy with nominations to the GRAMMY Award in both technical craft and performance categories. The chamber choir Ensemble 96, which consists of 24 highly qualified singers, is one of Norway’s leading vocal ensembles, and has gained its reputation through many critically acclaimed concerts, premieres, and recordings. It has a particular focus on contemporary music and seeks to expand the traditional choir concert by means of collaborations with other artists, including dancers, actors, and visual artists. The ensemble often presents a mix of contemporary music and classical songs. The musical director and conductor is Nina Therese Karlsen, who holds an MA in Choir Conducting from the Norwegian Academy of Music."
ACTB        ,ACTB - BRILLIANT,ACT9860-2,6.14428E+11,"Rantala, Iiro; Svensson, Noa; Ilg, Dieter; Peirani, Vincent; ACT Family Band, The; Landgren, Nils; Haffner, Wolfgang; Svensson, Ruben; Wollny, Michael; Danielsson, Lars; Schaerer, Andreas; Kühn, Joachim; Lindgren, Magnus; Le, Nguyen; Baldych, Adam; Parisien, Émile; Wakenius, Ulf","Baldych, Adam; Berglund, Dan; Danielsson, Lars; Edwards, Bernard; Ilg, Dieter; Kühn, Joachim; Lindgren, Magnus; Marrow, Queen Esther; Öström, Magnus; Peirani, Vincent; Rein, Jim; Rodgers, Nile; Seifert, Zbigniew; Sondheim, Stephen; Svensson, Esbjorn; Zawinul, Joe",The Jubilee Concerts,COMPACT DISC,1,14.81,22.99,2017,
AEO         ,AEON,AECD1755,3.76006E+12,"Arditti, Irvine","Boulez, Pierre; Carter, Elliott; Nunes, Emmanuel; Sciarrino, Salvatore",Caprices,COMPACT DISC,1,14.81,22.99,2017,"Over and above his legendary career as leader of the Arditti Quartet, Irvine Arditti has worked on many solo projects and is still today one of the foremost interpreters of the music of our time. Over the past decade he has given the world premieres of a whole host of large-scale works written especially for him. His approach to the contemporary violin is fascinating. The works by Salvatore Sciarrino, Elliott Carter, Emmanuel Nunes and Pierre Boulez assembled in this album are among the most widely known in the recent repertory for violin, both on account of the transcendental character of the pieces themselves and the impetus they have given the instrument’s technique, but also and above all because of the accomplishment manifest in the variety of their modes of expression. Irvine Arditti’s performance of them on this disc is masterly and already sets a benchmark."
AEO         ,AEON,AECD1757,3.76006E+12,"Bundgen, Paulin; Ensemble Céladon","Anonymous; Bennet, John; Byrd, William; Farrant, Richard; Nyman, Michael; Patrick, Nathaniel; Picforth,; Tye, Christopher",No Time In Eternity,COMPACT DISC,1,14.81,22.99,2017,"Through a repertoire of Consort Songs for five violas and countertenor, the Celadon Ensemble tries to underline the obvious artistic connections between the music of English Renaissance and contemporary music. This parentage, this harmonic, rhythmic and poetic logic, opens a whole field of exploration into sound identity and tradition. How have such seemingly different composers, belonging to remote eras, dealt with timbre fusion in a similar way, with the same desire to deeply affect, to create a full-bodied sound, both powerful and soothing? The two eras are not placed in opposition for this concert, as Michael Nyman’s music arises naturally from that of his predecessors; on the contrary, it is a clever mix of genres that points out to surprising similarities between these works: we could easily believe that Tye’s ‘Sit Fast’ was composed very recently. From one century to the next, we face a testimony brought to song by the timbre of a countertenor, the intensity of a violas consort that carries a certain magic, the paradoxical expression of a voice which is solitary but also becomes a sixth instrument- one of the violas."
AFF         ,AFFETTO RECORDS,AF1707,8.88296E+11,Quinteto del Fuego,"Anonymous; Piazzolla, Ástor",Infinite Piazzolla,COMPACT DISC,1,12.48,19.99,2017,"Quinteto del Fuego consists of five internationally renowned artists, whose artistic accomplishments place each one of them among the very best of their generation. Stephane Chapuis (bandoneon), Elmira Darvarova (violin), Lionel Monnet (piano), George Vassilev (guitar) and Irina-Kalina Goudeva (double bass) are fantastic virtuosos of their instruments who bring exquisite musicianship, refined taste and sublime perfection to their mesmerizing charismatic interpretations. The triumphal success of their concerts in Europe and the United States has solidified the reputation of Quinteto del Fuego as one of the very rare formations which cherish every note of the musical conversation connecting and binding them to the extreme core of the composers they champion. Their unrestrained passion for Astor Piazzolla’s music, coupled with their unerring instincts and deeply-felt affinity for the composer’s intentions, allow them to intertwine their individual vision with the unique original idea of the composer, resulting in unprecedentedly high-voltage performances and electrifying interpretative achievements. This is their debut studio recording of masterpieces by Astor Piazzolla on Affetto/Naxos."
AFF         ,AFFETTO RECORDS,AF1708,8.88296E+11,"Kinnara Ensemble; Burnett, J.D.","Anonymous; Apollinaire, Guillaume; Bible; Brahms, Johannes; Eluard, Paul; Erb, James; Ginastera, Alberto; Johnson, Craig Hella; Lassus, Orlande de; Lauridsen, Morten; Longfellow, Henry Wadsworth; Neruda, Pablo; Paulus, Stephen; Poulenc, Francis; Traditional; Wilby, Philip",Provenance,COMPACT DISC,1,12.48,19.99,2017,"The past two decades have marshaled an advent of numerous new professional choral ensembles in the United States, enriching the artistic environment for choral music lovers and professional singers alike. A product of that new landscape, Kinnara Ensemble has forged a bold path in the busy musical marketplace in New Jersey and the surrounding areas. The ensemble was founded in the fall of 2008 by a handful of Westminster Choir College alumni who sought to continue the musical fulfillment they enjoyed as students. Ten years later, Kinnara Ensemble, now comprising singers from throughout the nation, releases this album commemorating our provenance and shared path of musical and human exploration. Kinnara Ensemble strives to honor the capacious choral tradition – that rich inheritance – with exemplary choral experiences that speak to the modern soul. Kinnara Ensemble's first album, Provenance, is a bold step out for this recent arrival on the choral scene. The ensemble tackles a wide array of choral repertoire: di Lasso, Brahms, Poulenc, Paulus... and the austere, stunning, and rarely recorded Lamentations of Jeremiah by Alberto Ginastera."
AFF         ,AFFETTO RECORDS,AF1710,8.88296E+11,"Bickford, Joshua; Carlson, Mary Jo; Messalonskee Public Schools 7th and 8th Grade Chorus; Peterson, Amy; Messalonskee Public Schools 6th Grade Chorus; Messalonskee Public Schools 5th Grade Chorus; Messalonskee Public Schools Men's Chorus; Messalonskee Public Schools Mastersingers; Rhein, Pam; Rhein, Kevin; Messalonskee Public Schools Ladies Chorus; Messalonskee Public Schools High School Chorus","Ahrens, Lynn; Anonymous; Caldwell, Paul; Flaherty, Stephen; Hardyk, Joel; Ivory, Sean; Leavitt, John; Neches, David; Rao, Doreen; Rhein, Pam; Soyfer, Jura; Stroope, Z. Randall; Traditional; Zipper, Herbert",Songs of Darkness & Hope,COMPACT DISC,1,13.25,20.99,2017,"""Songs of Darkness and Hope"" was the culmination of a project conceived and created by choral music teacher Pam Rhein of the Meesalonskee Public Schools - Rural School Unit #18 in Oakland Maine for the “Shoah Student Education Initiative” of the Maine State Holocaust and Human Rights Center in the state capital of Augusta. The songs are composed from poems written by interred children found on the walls of concentration camps after WW2, along with a few camp work songs found in the Center’s historical archives. Sung by over 400 students from 5th grade through high school, combined choirs and select auditioned choirs conducted by high school choral teacher Kevin Rhein, the creation of this album was a moving experience in education which changed the lives of those involved, students and teachers alike, many of whom were moved to tears upon hearing the pre-production master. "
ABR         ,ALBA RECORDS,ABCD 408,6.41751E+12,"Roland, Jakob; Ruokangas, Heikki; Estola, Olli","Berlin, Irving; Dietz, Howard; Ruokangas, Heikki; Schwartz, Arthur",Ruokangas-Estola-Roland,COMPACT DISC,1,14.81,22.99,2017,"The Ruokangas-Estola-Roland Trio’s repertoire consists mainly of Heikki Ruokkanka’s own compositions as well as jazz standards. Improvisation, melody, and the interaction between the musicians are central to the musical expression of the trio. Their music could be described as modern jazz, but their roots in tradition are strong. Heikki Ruokangas is an Oulu guitarist who has studied guitar and jazz at the Oulu Conservatory and the Polytechnic with such instructors as Vesa Valkaman, Peter Lerchen, and Niklas Winter. His first jazz album was released in 2015 to stunning reviews. Jakob Roland is a Danish double bassist who studied jazz at the Copenhagen Rhythm Music Conservatory. His teachers include legendary performers such as Larry Grenadier, Ben Street, Jonathan Kreisberg, and Cecil McBee. He is one of the most internationally sought-after jazz basists from the Copenhagen jazz scene. Finally, Olli Estola is an Oulu drummer and percussionist who studied at the Oulu Conservatory and Polytechnic in Copenhagen at the Rhythm Music Conservatory. Along with a versatile show, he teaches at the aforementioned Oulu college and performs every year at the Copenhagen jazz festival in different configurations."
ALR         ,ALBION RECORDS,ALBCD032,5.06016E+12,"Newton, Ivor; Lawrence, Thomas B.; Glasgow Orpheus Choir; Moore, Gerald; Kiddle, Frederick B.; British National Opera Company Chorus; Ranalow, Frederick; Oriana Madrigal Society; Lewis, Mary; Scott, Charles Kennedy; Light Symphony Orchestra; Boult, Adrian; Raybould, Clarence; Sargent, Malcolm; Wilson, Steuart; Roberton, Hugh S.; Stone, Norman; Goossens, Leon; The English Singers; Girls from Secondary Modern School North Midlands; British Symphony Orchestra; Jones, Trefor; Collier, Frederic; Anderson, Willia","Anonymous; Bantock, Granville; Broadwood, Lucy; Butterworth, George; Grainger, Percy; Holst, Gustav; Kennedy-Fraser, Marjorie; Kreisler, Fritz; Sharp, Cecil; Smyth, Ethel; Traditional; Vaughan Williams, Ralph; Wilson, Steuart",I Love My Love,COMPACT DISC,1,14.81,22.99,2017,"There are two iconic moments in the history of folk song collection in England; the first involved Cecil Sharp and the second Ralph Vaughan Williams. Sharp was staying with his mother-in-law in Headington, East Oxford, on Boxing Day, 1899 when he heard the Headington Quarry Morris Dancers perform outside their cottage. He asked them to return the next day and duly noted five tunes. His lifelong enthusiasm for folk song had begun. The revelatory moment for Vaughan Williams had come on December 4, 1903 when he heard the shepherd, Charles Potiphar, sing Bushes and Briars at Ingrave, near Brentwood, Essex. As Vaughan Williams put it: “I knew and loved the few English folk songs which were then available in printed collections, but I only believed in them vaguely… my faith was not yet active.” Hearing Bushes and Briars “set all my doubts about folk song at rest” and Vaughan Williams’ musical style was to change forever. I Love My Love is a collection of remastered 78 rpm recordings of folk songs. It focuses on folk songs of classical beauty, presented in generally straightforward arrangements, collected in the early years of the twentieth century. There is a depth of humanity in these songs that connects us to a not-so-distant past. The stories and sentiments they describe, of love, war, courtship, separation and the vagaries of the seasons, can make us smile, empathize and, sometimes, still move us to tears."
ALI         ,ALIUD - CHALLENGE,ACDBN942,8.71778E+12,JAN VAN DER ROOST,BERLIOZ  SCHUBERT  DEBUSSY,TRIBUTE TO SAX,COMPACT DISC,2,19.49,29.99,2017,"In 2014, Adolphe Sax was remembered and celebrated all over the world. The Belgian genius inventor was born in Dinant in 1814 and he died 80 years later in Paris after a rather turbulent life with several amazing achievements as well as failures and fiascos. In the aftermath of the “International Adolphe Sax Competition,” which was held in November ’14 in his native city, the idea was born to pay homage to this important figure by recording an album featuring his most famous invention: the saxophone. By presenting the saxophone in various combinations (some of which are less common), it becomes clear how versatile and how well integrated this instrument has become in the international music business. It wasn’t easy to make a representative selection as there really is a lot to choose from! We specifically have focused on the soprano and the alto saxophone as the main solo instruments of the entire family, though also the tenor gets some exposure. Another instrument family which is directly related to the sax, the saxhorns, is less highlighted on this album."
ALP         ,ALPHA,Alpha288,3.76001E+12,"Busch Trio; Silva, Miguel da","Dvorák, Antonín",Dvorák: Piano Quartets Nos. 1 & 2,COMPACT DISC,1,14.81,22.99,2017,"Following a first recording devoted to Dvorak’s Dumky Trio and Trio no.3, Omri Epstein, Mathieu van Bellen and Ori Epstein are joined by one of their former teachers at the Queen Elisabeth Music Chapel, the violist Miguel da Silva, a founing member of the famous Quatuor Ysaye. Together they pursue this series of the Czech composer’s complete chamber music with piano: there is an obvious close rapport between the musicians, who share with us their passion for this repertory and their pleasure in playing together. The Piano Quartet no.1 in D major op.23 of 1875 was one of the first works in which the young Dvorak, inspired by Schubert, laid the foundations of the compositional style which he would conserve for the rest of his life. Fourteen years later, he composed the Piano Quartet no.2 in E flat major op.87, completed under pressure from his publisher. This work, influenced by Brahms, is one of the masterpieces of his maturity. Two further recordings will complete this quadriptych of the Czech composer’s keyboard trios, quartets and quintets."
ALP         ,ALPHA,Alpha293,3.76001E+12,"Ludwig Orchestra; Hannigan, Barbara","Berg, Alban; Berio, Luciano; Elliott, Bill; Gershwin, George; Gershwin, Ira; Hannigan, Barbara; Kutter, Markus",Crazy Girl Crazy,COMPACT DISC + DVD,1,14.81,22.99,2017,"Whether singing, conducting, dancing or acting, the Canadian soprano Barbara Hannigan is a source of fascination. Alpha Classics is proud to enter her world today and to present in 2017 her very first album as singer and conductor: with the Amsterdambased orchestra Ludwig, of which she is associate artist, Barbara Hannigan has devised a programme including Berg’s Lulu Suite and Gershwin’s Girl Crazy in a Suite newly arranged by the multiaward-winning American composer Bill Elliott. To complement these two pieces, she has recorded Berio’s spectacular Sequenza III for solo voice. An outstanding soprano, a distinguished interpreter of the music of the twentieth and twenty-first centuries, an all-round artist who creates a sensation on concert platforms and in opera houses throughout the world, Barbara Hannigan has enriched her palette over the past few years by devoting a portion of her activities to conducting. This album in the form of a musical portrait of the artist, is completed by a film made by Mathieu Amalric during the rehearsals and recording sessions. It plunges into the heart of the orchestra with a very personal look at the exchanges between conductor and musicians. Over the next few years, Alpha will accompany Barbara Hannigan in a number of projects from very varied horizons . . ."
ALP         ,ALPHA,Alpha369,3.76001E+12,"Quatuor Girard; Metral, Justine; Radevski, Ðorde; Otal, Josquin; Vassilenko, Victoria; Nowak, Kacper; Parisot, Tanguy; Trio Medici; Yoon, Han Bin","Reicha, Anton",Reicha: Musique de chambre,COMPACT DISC,3,14.81,22.99,2017,"The fruitful partnership between the Alpha label, the Queen Elisabeth Music Chapel and the Palazzetto Bru Zane continues with this set of chamber music by Anton Reicha, performed by the musicians of the Chapel, young talents of an exceptionally high standard, ready and willing to take up the challenge of this music. A key figure of the early nineteenth century, this Czech composer who became a naturalised French citizen did not leave his contemporaries indifferent. Both his music and his theoretical writings set zealous partisans against fierce detractors. This three-part album, assembling pieces from different genres and periods, gives an insight into the richness of the composer’s extremely prolific output of chamber music, whose originality can still fascinate us nearly two centuries after his death: it illustrates the diversity of the instrumental genres he tackled (sonatas, fugues, études and variations for piano; piano trio, string quartet, string quintet) and a compositional art characterised at once by perfect mastery – as one would expect from someone trained by Haydn in Vienna between 1802 and 1808 – and by the greatest originality."
ALP         ,ALPHA,Alpha379,3.76001E+12,"Boulianne, Julie; Behr, Julien; Papatanasiu, Myrtò; Le Cercle de l'Harmonie; Rhorer, Jérémie; Scoffoni, Marc; Chœur de Radio France; Grevelius, Anna; Gleadow, Robert; Bou, Jean-Sébastien; Humes, Steven","Da Ponte, Lorenzo; Mozart, Wolfgang Amadeus","Mozart: Don Giovanni, K. 527 (Live)",COMPACT DISC,3,14.81,22.99,2017,"Here is the third and last instalment in the ‘Live at the Théâtre des Champs-Élysées’ series of Mozart operas conducted by Jérémie Rhorer. After Die Entfuhrung aus dem Serail and La clemenza di Tito comes Don Giovanni, recorded in 2016. On the occasion of the performances (directed by Stéphane Braunschweig) during which Radio France recorded the present discs, Le Figaro wrote: ‘Jérémie Rhorer expertly conducted his orchestra “Le Cercle de l’Harmonie”. On the stage, Jean-Sébastien Bou sang and acted the title role impeccably. He was seconded by his valet Leporello, superbly played by the Canadian Robert Gleadow. A thrilling production both musically and intellectually.’ The cast is completed by the ardent Myrtò Papatanasiu in the role of Donna Anna, the lovely voice of Julie Boulianne as Donna Elvira and the elegant timbre of Julien Behr as Don Ottavio, not forgetting the magnificent Commendatore of Steven Humes and the lively Zerlina and Masetto of Anna Grevelius and Marc Scoffoni."
