Label,Label Description,Item Number,Primary Barcode,Artist,Composer,Composer / Title,Format,# Discs,CA List Price,CA Suggested Retail Price,Release Date,Blurb
ALP         ,ALPHA,Alpha365,3.76001E+12,"Pashchenko, Olga","Beethoven, Ludwig van","Beethoven: Piano Sonatas Nos. 21, 23 & 26",COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"Olga Pashchenko is in the process of creating a unique place for herself in the world of the keyboard: she moves with astounding ease and skill from the harpsichord to the fortepiano, the organ, and the modern piano. After a recording of Beethoven's variations in 2015, the young pianist has now gone to the legendary Beethoven-Haus in Bonn, a venue she knows well since she regularly gives concerts within its walls, to record three monuments of the pianistic literature - the Appassionata, Les Adieux and Waldstein sonatas - on the original Conrad Graf piano of 1824 conserved there. She utilizes all the sonic possibilities and the full palette of colors of this instrument made around fifteen years after the composition of these sonatas, three of the finest in the corpus of thirty-two that Hans von Bulow called ''the New Testament of every pianist''."
ALP         ,ALPHA,Alpha367,3.76001E+12,Arcangelo,"Buxtehude, Dieterich",Buxtehude: Complete Trio Sonatas,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-21,"For this recording of music by Buxtehude, Jonathan Cohen, founder of the ensemble Arcangelo, is joined by a distinguished trio, including two regulars on the Alpha label, Sophie Gent and Thomas Dunford, alongside the gambist Jonathan Manson. Although Dietrich Buxtehude is famous above all for his organ music and cantatas, and for the long journey the young Bach undertook to meet him, his chamber music is virtually unknown. In the mid-1690's, at the height of his fame, Buxtehude published two collections in rapid succession, each comprimising seven sonatas for violin, viola da gamba and bassoo continuo. It is the works of the first collection - designated Op. 1 in the print - that Arcangelo has recorded here. These sonatas are characterized by prnounced experimental features in both the scoring and the handling of the instruments."
ANI         ,ANIMAL MUSIC,ANI062-1,8.59416E+12,ORGANIC QUARTET,DOLEZAL  HOBZEK  PIVEC  SMOLDA,TERMS & CONDITIONS APPLY (LP),VINYL,1,$23.39 ,$35.99 ,2017-Jul-07,"The album of the reunited legendary Organic Quartet, led by Hammond organist and Grammy winner Ondrej Pivec, who currently resides in New York (playing with Gregory Porter and Gregoire Maret, among others) is released precisely ten years after the band´s previous album titled “Never Enough“ (2007), the release of which was an impetus to Animal Music label foundation. The Album contains new fresh material penned by the band members, was recorded to tape using solely analog equipment, without any use of digital effects, computers or editing. The album is released on CD, vinyl (with large booklet containing the sheet music) and digitally. The band members, who concurrently lead their own projects and release their own solo albums, have matured into remarkable personalities without losing anything from their youthful enthusiasm and energy."
ANI         ,ANIMAL MUSIC,ANI062-2,8.59416E+12,ORGANIC QUARTET,DOLEZAL  HOBZEK  PIVEC  SMOLDA,TERMS & CONDITIONS APPLY,COMPACT DISC,1,$17.93 ,$27.99 ,2017-Jul-07,"The album of the reunited legendary Organic Quartet, led by Hammond organist and Grammy winner Ondrej Pivec, who currently resides in New York (playing with Gregory Porter and Gregoire Maret, among others) is released precisely ten years after the band´s previous album titled “Never Enough“ (2007), the release of which was an impetus to Animal Music label foundation. The Album contains new fresh material penned by the band members, was recorded to tape using solely analog equipment, without any use of digital effects, computers or editing. The album is released on CD, vinyl (with large booklet containing the sheet music) and digitally. The band members, who concurrently lead their own projects and release their own solo albums, have matured into remarkable personalities without losing anything from their youthful enthusiasm and energy."
ANT         ,ANTES,BM319300,4.01451E+12,CATHERINE GORDELADZE,ALBENIZ  CZERNY RAMEAU  RAVEL,DANCE FANTASIES,COMPACT DISC,1,$17.93 ,$27.99 ,2017-Jul-14,"Great piano composers did not confine themselves to writing piano sonatas. Many of them wrote dances, too: minuets, sarabandes, gavottes and particularly waltzes. The tradition of great composers writing and arranging dances starts with Bach and Rameau, encompasses Mozart, Schubert, Brahms and Tchaikovsky and ends with Maurice Ravel, Sergei Prokofiev and Dmitri Shostakovich, whose Waltz No. 2 is regularly played on German classical radio stations. The only problem was that these dances were too easy for the virtuoso pianists, which is why some of these artists turned unassuming minuets waltzes and polkas into glittering virtuosic pieces which could be played only by professional pianists. One of the greatest pianists of all time was also a great arranger of music, Leopold Godowsky. This American virtuoso of Polish extraction arranged hundreds of pieces by other composers, especially works by Chopin and the waltz king Johann Strauss, and turned them into sparkling studies and encores, that test the technique and stamina of even the most accomplished player. The Viennese pianist and Beethoven pupil Carl Czerny, for generations the specter of all piano students and today remembered for his etudes, is also the composer of a charming arrangement of Franz Schubert’s bittersweet mourning waltz. Catherine Gordeladze, a native of Tiflis, Georgia, today lives and works out of Frankfurt, Germany. Ms. Gordeladze studied the piano in her native Georgia, Frankfurt and Weimar and is the winner of prestigious prizes and competitions. She has been playing with renowned orchestras in major concert venues all over the world. The artist gives piano recitals in many countries and is also much sought after as a chamber music partner. In her award-winning albums, which have been praised by critics and the public alike, the pianist concentrates on challenging virtuoso pieces apart from the mainstream repertoire."
APR         ,APR RECORDINGS,Apr-02,5.02471E+12,"Gieseking, Walter","Brahms, Johannes; Chopin, Frédéric; Schubert, Franz; Schumann, Robert; Scriabin, Alexander","Brahms, Schubert & Schumann, Piano Works",COMPACT DISC,4,$27.29 ,$41.99 ,2017-Jul-21,"Walter Gieseking (1895-1956) is acknowledged as one of the greatest pianists of the 20th century, but his renown in the music of Debussy and Ravel in particular has led to other areas of his recorded legacy being comparatively neglected. The set attempts to redress that balance by presenting his rarely reissued complete post-war commercial recordings, made for UK Columbia, of Brahms, Schubert and Schumann. Most of these titles are not otherwise currently available on the market. Gieseking began studying piano at the age of four. After World War II, like many other German artists, Gieseking was blacklisted. By 1947, however, the U.S. military government had cleared his name, and he resumed his American career. His 1953 Carnegie Hall concert garnered him extraordinary popularity in the United States. He is most remembered for his perfect pitch and abnormally good memorization skills. He could study an entire concerto away from the piano and have it memorized in just one day."
ARC         ,ARC,EUCD2737,5.0194E+12,"Henderson, Jarlath; Kennedy, Mary Anne; Dawson, Hannah; Simpson, Nicola; Burgess, Aburn; Simpson, Duncan; Caine, Victoria; Ross, Iaian Hector; Turner, Mark; Burton, Euan; Grant, Donald; Milne, Triona; MacDougall, Lorne; Ross, Marion; MacPhee, Catriona MacNeill; Wells, Finlay; Ross, Susanna; Martin, Eilidh; Inverness Gaelic Choir","Campbell Hay, George; Campbell Peter, Angus; Crichton Smith, Iain; Kennedy, Mary Anne; MacDonald, Ìrig; MacNeacail, Aonghas; Meek, Donald; Montgomery, Catriona; Tuairneir, Marcas Mac an",An Dàn – Gaelic Songs for a Modern World,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"Mary Ann’s unique collection of contemporary Gaelic songs reflects a lifetime of musicmaking in the Scottish traditional music world, but also a hothouse classical music training and even a brief foray running the BBC’s Gaelic news service. She and producer-musician husband Nick Turner are based in Ardgour in the Scottish West Highlands where they run their Watercolour Music studios, home to her various roles as writer, TV and radio broadcaster, choral director, producer, and performer. A chivvier, an encourager, an in-the-mix partner all her musical life, including her time with the seminal Gaelic supergroup Cliar, Mary Ann is finally stepping forward- An Dan is her debut solo album. “It’s important to any living culture that new songs are composed and performed. An Dan, from one of Gaelic music’s most talented figures, may surprise some- in the best possible way. A very classy album.” (Arthur Cormack) “Scottish singing doesn’t get much better than this. A wonderful singer and excellent choice of songs in Scottish Gaelic.” (D. W.)"
ARC         ,ARC,EUCD2738,5.0194E+12,"Reyes, Jessita; Gomez, Alice; Blanchett, Madalyn","Gomez, Alice; Reyes, Jessita",Sacred Wind: Native American Flute,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"This new album features Native American flute with the sounds of birds, wind, thunder, and rain, played solo, in duets, or with instrumental accompaniments. The songs on this release are haunting and meditative, making the album feel spiritual and relaxing. Alice Gomez has been one of the most consistent Native American flute artists over the past three decades. With more than ten albums released, she has pioneered the use of Native American flute together with other instruments. Drawing upon her multicultural heritage to create her unique recordings, she also plays guitar, synthesizer, percussion and vocal chants. Gomez is composer-in-residence with the San Antonio Symphony, for whom she has composed a number of orchestral and chamber works rooted in the Southwest’s Latino/Indian heritage. Ever since her debut release in the early 1990s, “Deer Dancer,” Jessita Reyes has been known to fans of contemporary Native American flute music for her soulful performances. She is particularly known in the “healing community,” because of earlier releases such as “Healers of the Flute.” Primarily focusing on the solo Native American flute, Reyes has also used the flute with a variety of Asian instruments."
ARC         ,ARC,EUCD2739,5.0194E+12,Latin Sextet; Anonymous,"Bianchi, Cido; Calquin, Mauricio; Carrillo, Alvaro; Da Silva, Jonas Mo; Estefan, Gloria; Jardim, Rogerio; Kernegger, Martin; Maríno, Gerd; Mo, Jonas; Ulbricht, Carsten",Latin Dance Music,COMPACT DISC,1,$10.13 ,$15.99 ,2017-Jul-28,"The Latin Sextet was founded in the 1990s. Its members, all of them seasoned musicians, hail from Brazil, Chile and Germany. In their music, they combine Latin American tradition with European and American styles. The six-piece band present folkloristic melodies from Brazil or Cuba, driven by Brazilian/Cuban rhythms fused with jazzy harmonies. The sizzling hot result could be called “Latin Jazz.” The Latin Sextet is Gerd Marino, Jonas Mo, Carsten Ulbricht, Mauricio Calquin, and Rogerio Jardim. The group is joined for these recordings by some of the most talented Latin and jazz musicians on the scene today, including Victor Hugo Ormeno, Griselle Colon, and Geppino Guadagno."
ARC         ,ARC,EUCD2740,5.0194E+12,Tahiti Here,Traditional,Tahiti Here: Music From the South Pacific,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"A true paradise on earth, the 118 islands of French Polynesia have always set every man and woman dreaming and have fascinated explorers, painters and writers alike with their legendary gentle way of life and breathtaking landscapes. Tahiti dances are performed to the rhythm of the pahu drums, and to the sound of the nose flute, called the vivo. These dances are accompanied by songs and a choir that support a solo singer. Choreographies evoke two major concerns of the past: war, expressed through the men’s wide and jerky movements, and love, interpreted by the women’s swaying and lascivious dancing. These beautiful dances officially disappeared with the Christianization of the islands but they resurfaced in the early 20th century. The costumes of the Tahiti artists remind us of the ocean and travelling. The women’s skirts are made out of straw, the tops are solely made out of coconut shells, and the men go bare torso; such costumes evoke the heat and exotic character of this ensemble. Tahiti Here Group has revived its ancestral traditions and proudly presents exhilarating rhythmic dances."
ARC         ,ARC,EUCD2741,5.0194E+12,"The Athenians; Romiosini; Terzis, Michalis","Dimitris, Politis; Gorgos, D.; Loizos, Manos; Polychronis, Dimitris; Smirnios, Kostas; Terzis, Michalis; Theodorakis, Mikis; Traditional",World Travel - Greece,COMPACT DISC,1,$10.13 ,$15.99 ,2017-Jul-28,"Enjoy rembekitos and syrtakis by the Athenians, songs from Crete by Romiosini, pieces by Mikis Theodorakis, and melodies from the Aegean islands and original compositions by Michalis Terzis, one of the most prominent Greek composers today. Michalis Terzis is one of the most important contemporary Greek composers. He started his musical career in 1973, playing songs by Mikis Theodorakis, Manos Hatzidakis and New Wave as well as his own compositions at music theatres in the historical part of Athens beneath the Acropolis. In following years Michalis wrote and recorded many pieces including instrumental music, lyrical songs and traditional elegies, as well as music for theatre, TV and film productions, for which he won numerous awards at many Greek and international film festivals. His songs have been performed and recorded by the most famous Greek singers including: George Dalaris, Dimitra Galani, Lavrendis Machairitsas, Glykeria, Maria Dimitriadi, and more. The group The Athenians renders masterly interpretations o fGreek composers such as Mikis Theodorakis, Stavros Xarcharkos, Manos Hadzidakis, Manos Loisos, etc, as well as their own compositions. Their repertoire, which encompasses contemporary songs and Greek popular music that originated as folk music, has been enriched by modern elements and thus developed into a new genre."
ARC         ,ARC,EUCD2742,5.0194E+12,"Cárcamo, Pablo","Barros, Jose; Beetar, J.A.; Cabrera,; Cagnoli, E.; Cárcamo, Pablo; Cárdenas, P.; Castellón, M.; Castro, M.; Cruz, H.V.; Ferrer, C.; Friarte, R.; Guerra, Juan Luis; Iriarte Agamez, Ruth; Loubet,; Morales,; Murat, E; Osorio, H.; Peñaranda, José María; Rojas, H.; Schejtman, E.; Velásquez Hurtado, Aníbal",Caribbean Tropical Dance,COMPACT DISC,1,$10.13 ,$15.99 ,2017-Jul-28,"As the title indicates, this album contains a selection which can be described both as Caribbean music by its origin and dance music by its style. The Caribbean element is present throughout the whole repertoire. The songs originate from the numerous islands scattered in the Caribbean between Cuba and Trinidad, as well as from some areas of the South American continent on the Atlantic coast. These islands and coastal regions are extremely diverse, culturally speaking, but they share a fundamental background: the mixing over time and space of a multitude of cultural heritages, mainly of African and European import, as well as of local making. Out of this mixing emerged a Caribbean identity with, however, pronounced regional distinctions very much reflected in the music. Like its Caribbean identity, dance is another unifying aspect of the music featured in this album. This is really popular party music with fast, rhythmic tempos and catchy tunes, meant for moving or dancing to, rather than for static enjoyment. Chilean-born multi-instrumentalist Pablo Carcamo is a notable master of the charango, an Amerindian version of the imported European mandolin, found amongst the population of the Andean region. His instrumental expertise however includes most South American instruments, all variations of flutes and pan pipes as well as percussions and drums of Afro-Caribbean provenance, and Western electric guitars and electronic synthesizers. This helps make his music accessible to a large worldwide audience."
ARC         ,ARC,EUCD2743,5.0194E+12,"Rivera, Mario Mayito; Rubalcaba and César Pedroso; Calle Real; Morales, Tiburón; Pupy y Los que Son, Son; Combinación Latina Salsa; Gonzales, Jr., Rubén; Soneros de Verdad; Santamaria, Roberto; Orquesta Termidor Cuba; Cubaçao, Tumbao","Alvarez, Adalberto; Anonymous; Arias, Luis Frank; Calzado, Rudy; Gallardo, Joe; Morales, Eduardo; Padilla, Juan De La Cruz Antomachin; Pedroso, Cesar; Peña, Rafael Borrego; Rivera, Mario Mayito; Salsbach, Arnell; Sirgado, Nicolas; Sobrado, Patricio; Torres, Elsa",Best of Cuba,COMPACT DISC,1,$11.69 ,$17.99 ,2017-Jul-28,"This new release features fifteen rousing and very danceable Cuban songs in the best tradition of ‘Buena Vista’ with some of the old guard as well as the younger generation of ‘post Buena Vista’ Cuba. Artists include Luis Frank, Soneros de Verdad, Mayito Rivera, Rudy Calzado, Cesar Pedroso, and more. The Buena Vista Social Club was a members’ only club in Havana, Cuba that operated until the 1940s. The club was so widely known, that it inspired a 1990s band, a popular album, a late-nineties film, and a brand name. The spirit of the club is evident in this release as well. These songs have been handpicked and remastered by celebrated sound engineer Diz Heller."
ARN         ,ARCANA,A433,3.7602E+12,Tripla Concordia,"Telemann, Georg Philipp",Telemann: Sonate à flauto solo,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"Following a critically acclaimed Vivaldi album, recorder player Lorenzo Cavasanti and his partners - grouped under the name Tripla Concordia - turn their attention to Georg Philipp Telemann, with an original programme that goes beyond the usual canon of his recorder sonatas. Among Telemann's hundreds of sonatas, his last publication of solos for melody instrument and basso continuo, the XII Solos a violin ou traversiere, contains music of great expressive depth. These twelve works not only sum up the composer's approach to the solo sonata over several decades, but also reveal his continuing exploration of the genre's possibilities. Yet they have been unfairly overshadowed by several of his earlier sonata collections. This recording by Lorenzo Cavasanti and the members of Tripla Concordia offers a new perspective on the XII Solos by performing four of them with recorder in place of violin or flute. Such flexibility of instrumentation was characteristic of Telemann, who often sanctioned alternative scorings in his publications. Paired with these works is a sonata preserved in a Brussels manuscript and one from the well-known Essercizii musici. The music's significance is explored in booklet notes by Telemann scholar Steven Zohn, author of Music for a Mixed Taste: Style, Genre, and Meaning in Telemann's instrumental works."
ARN         ,ARCANA,A435,3.7602E+12,"Vallerotonda, Simone; Duran, Josep Maria Marti; I Bassifondi","Anonymous; Bartolotti, Angelo Michele; Carbonchi, Antonio; Corbetta, Francesco; Duran, Josep Maria Marti; Foscarini, Giovanni Paolo; Kapsberger, Giovanni Girolamo; Miracle, Gabriele; Murcia, Santiago de; Piccinini, Alessandro; Valdambrini, Francesco; Vallerotonda, Simone",Alfabeto Falso,COMPACT DISC,1,$14.81 ,$22.99 ,2017-Jul-28,"After the success of ''L'ultimo romano'', his album of music for archlute from the 1718 collection of the Roman composer Giovanni Zamboni, Simone Vallerotonda presents something totally new with his Baroque ''power trio'' I Bassifondi: ''Alfabeto falso''. Their debut album is devoted to Italian and Spanish music for guitar and theorbo from the first half of the seventeenth century. A little-known repertory, characterized by rhythmic oddities and harmonic extravagances that challenge those of contemporary jazz. Ordinary ''alfabeto'' was the system used by guitarists of the period to mark chords: each letter corresponded to a single chord. But, in the ''false alphabet'', those letters which were marked with a slash indicated chords containing dissonances, often very bold. The trio, comprising guitar/theorbo, percussion instruments and colachon, reconstructs an ensemble typical of the seventeenth century. Breathtaking rhythms, ''dirty'' chords, improvisations and variations: these are the colors they seek to convey in their sound. The beauty and the challenge of this disc lie precisely in providing an interpretation that respects everything notated in the score, and in the choice of arrangements and timbres. This music sounds modern and perhaps slightly provocative to us, but all of it was written around 1640."
